l1_identifier,l1_label,l2_identifier,l2_label,l3_identifier,l3_label,l3_definition
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.1,Abitazioni di tipo signorile,"Abitazioni di tipo signorile. Unità immobiliari appartenenti a fabbricati ubicati in zone di pregio con caratteristiche costruttive, tecnologiche e di rifiniture di livello superiore a quello dei fabbricati di tipo residenziale."
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.2,Abitazioni di tipo civile,"Abitazioni di tipo civile. Unità immobiliari appartenenti a fabbricati con caratteristiche costruttive, tecnologiche e di rifiniture di livello rispondente alle locali richieste di mercato per fabbricati di tipo residenziale."
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.3,Abitazioni di tipo economico,"Abitazioni di tipo economico. Unità immobiliari appartenenti a fabbricati con caratteristiche di economia sia per i materiali impiegati che per la rifinitura, e con impianti tecnologici limitati ai soli indispensabili."
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.4,Abitazioni di tipo popolare,Abitazioni di tipo popolare. Unità immobiliari appartenenti a fabbricati con caratteristiche costruttive e di rifiniture di modesto livello. Dotazione limitata di impianti quantunque indispensabili.
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.5,Abitazioni di tipo ultrapopolare,Abitazioni di tipo ultrapopolare. Unità immobiliari appartenenti a fabbricati con caratteristiche costruttive e di rifiniture di bassissimo livello. Di norma non dotate di servizi igienico-sanitari esclusivi.
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.6,Abitazioni di tipo rurale,Abitazioni di tipo rurale.
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.7,Abitazioni in villini,"Abitazioni in villini. Per villino deve intendersi un fabbricato, anche se suddiviso in unità immobiliari, avente caratteristiche costruttive, tecnologiche e di rifiniture proprie di un fabbricato di tipo civile o economico ed essere dotato, per tutte o parte delle unità immobiliari, di aree esterne ad uso esclusivo."
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.8,Abitazioni in ville,"Abitazioni in ville. Per ville devono intendersi quegli immobili caratterizzati essenzialmente dalla presenza di parco e/o giardino, edificate in zone urbanistiche destinate a tali costruzioni o in zone di pregio con caratteristiche costruttive e di rifiniture, di livello superiore all'ordinario."
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.9,"Castelli, palazzi di eminenti pregi artistici o storici","Castelli, palazzi eminenti. Rientrano in questa categoria i castelli ed i palazzi eminenti che per la loro struttura, la ripartizione degli spazi interni e dei volumi edificati non sono comparabili con le Unità tipo delle altre categorie; costituiscono ordinariamente una sola unità immobiliare. E' compatibile con l'attribuzione della categoria presenza di altre unità, funzionalmente indipendenti, censibili nelle altre categorie."
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.10,Uffici e studi privati,"Uffici e studi privati. Rientrano in questa categoria quelle unità immobiliari che per tipologia, dotazione di impianti e finiture sono destinate all’attività professionale."
I,Immobili a destinazione ordinaria,I.A,Gruppo A,A.11,Abitazioni ed alloggi tipici dei luoghi,"Abitazioni ed alloggi tipici dei luoghi Rifugi di montagna, baite, trulli, sassi, ecc…"
I,Immobili a destinazione ordinaria,I.B,Gruppo B,B.1,"Collegi e convitti, educandati; ricoveri; orfanotrofi; ospizi; conventi; seminari; caserme","Strutture destinate all'assistenza dei disagiati, dei religiosi o caserme dello Stato."
I,Immobili a destinazione ordinaria,I.B,Gruppo B,B.2,Case di cura ed ospedali (senza fine di lucro),Strutture per l'assistenza agli ammalati che non hanno fini economici.
I,Immobili a destinazione ordinaria,I.B,Gruppo B,B.3,Prigioni e riformatori,Strutture costruiti e destinate alla reclusione degli evasori della Legge.
I,Immobili a destinazione ordinaria,I.B,Gruppo B,B.4,Uffici pubblici,Strutture costruiti o adattati per sedi di Uffici Pubblici.
I,Immobili a destinazione ordinaria,I.B,Gruppo B,B.5,Scuole e laboratori scientifici,Strutture costruiti e destinati all'istruzione e alla ricerca scientifica.
I,Immobili a destinazione ordinaria,I.B,Gruppo B,B.6,"Biblioteche, pinacoteche, musei, gallerie, accademie che non hanno sede in edifici della categoria A.9",Sedi culturali che non hanno scopi economici e non sono già in palazzi storici.
I,Immobili a destinazione ordinaria,I.B,Gruppo B,B.7,Cappelle ed oratori non destinati all’esercizio pubblico del culto,Strutture destinate all'esercizio della religione.
