l1_identifier,l1_label,l2_identifier,l2_label,l2_example,l3_identifier,l3_label,l3_definition,l3_example,l4_identifier,l4_label,l4_definition,l4_example,l5_identifier,l5_label,l5_definition,l5_example
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.1.85,Strada deformata ,"Segnala un tratto di strada o di carreggiata in cattivo stato o con pavimentazione irregolare. Occorre prevedere eventuali sbandamenti non solo del nostro veicolo ma anche di quelli provenienti dal senso opposto. Può essere integrato con un pannello integrativo indicante la lunghezza del tratto interessato (estesa), che avrà inizio 150 m dopo il segnale. Dal 1992 sostituisce il segnale di cunetta o dosso il quale presegnalava però un'anomalia altimetrica, quale una cunetta trasversale, un dosso o un ponte a schiena accentuata.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_strada_dissestata.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.2.85,Dosso ,"Segnala un'anomalia altimetrica convessa della strada, oppure un dosso artificiale, che può limitare la visibilità. Può essere integrato con un pannello integrativo e con un segnale stradale che indica la velocità da mantenere. ",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_dosso.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.3.85,Cunetta ,Segnala un'anomalia altimetrica concava della strada (discesa e poi salita). ,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_cunetta.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.4.86,Curva pericolosa a destra ,Presegnala un tratto di strada non rettilinea pericoloso per la limitata visibilità o per caratteristiche del tracciato (curva stretta a destra).,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_curva_pericolosa_a_sinistra.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.5.86,Curva pericolosa a sinistra ,Presegnala un tratto di strada non rettilineo pericoloso per la limitata visibilità o per caratteristiche del tracciato (curva stretta a sinistra).,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_curva_pericolosa_a_sinistra.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.6.86,"Doppia curva pericolosa, la prima a destra",Presegnala una sequenza di curva e controcurva od una serie di curve pericolose in successione. Il segnale può essere integrato con un pannello indicante il numero dei tornanti o l'indicazione della lunghezza (compresa tra due frecce con la punta rivolta in su) del tratto interessato.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_doppia_curva_dx.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.7.86,"Doppia curva pericolosa, la prima a sinistra ",Presegnala una sequenza di curva e controcurva od una serie di curve pericolose in successione. Il segnale può essere integrato con un pannello indicante il numero dei tornanti o l'indicazione della lunghezza (compresa tra due frecce in su) del tratto interessato.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_doppia_curva_sx.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.8,Svolta pericolosa ,Presegnala una svolta pericolosa. Dal 1959 non più previsto dal Codice della strada.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_old_-_svolta_pericolosa.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.8.87,Passaggio a livello con barriere o con semibarriere ,Segnala un passaggio a livello con barriere ed è integrato con il pannello distanziometrico a tre barre rosse. Precede una luce rossa fissa o due luci rosse lampeggianti e può essere accompagnato da un segnale acustico per avvertire della chiusura delle barriere. È necessario moderare la velocità per essere pronti a fermarsi se le barriere sono chiuse. Ci si deve assolutamente fermare se sono in funzione le due luci rosse lampeggianti o il segnale acustico.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_passaggio_a_livello_con_barriere.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.9.87,Passaggio a livello senza barriere ,Segnala un passaggio a livello senza barriere ed è integrato con il pannello distanziometrico a tre barre rosse.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_passaggio_a_livello_senza_barriere.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.10a.87,Croce di Sant'Andrea ,"Segnala un passaggio a livello senza barriere con un solo binario, ed invita quindi i conducenti alla massima prudenza, invitandoli a fermarsi immediatamente se fossero attive le due luci rosse lampeggianti e/o il segnale acustico che indicano l'avvicinarsi di un treno. Il segnale può anche essere installato in verticale per ragioni di spazio.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_croce_di_S.Andrea.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.10b.87,Doppia Croce di Sant'Andrea ,Segnala un passaggio a livello senza barriere con più binari. Il segnale può anche essere installato in verticale per ragioni di spazio.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_Doppia_croce_di_Sant%27Andrea.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.12.88,Attraversamento tranviario ,"Presegnala fuori e dentro i centri abitati una linea tranviaria non regolata da semafori che incrocia, interseca o riduce la carreggiata stradale.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_attraversamento_tramviario.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.13.88,Attraversamento pedonale ,Segnala un attraversamento pedonale contraddistinto da appositi segni sulla carreggiata.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_attraversamento_pericoloso.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.14.88,Attraversamento ciclabile ,Presegnala attraversamento di ciclisti contraddistinto da appositi segni sulla carreggiata. È posto sia su strade urbane sia su strade extraurbane il cui limite di velocità superiore ai 50 km/h.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_attraversamento_ciclabile.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.15.89,Discesa pericolosa ,"Presegnala un tratto di strada in discesa secondo il senso di marcia, particolarmente pericoloso in conseguenza di fattori locali sfavorevoli. La pendenza è espressa in percentuale.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_discesa_pericolosa.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.16.89,Salita ripida ,Presegnala un tratto di strada in salita secondo il senso di marcia da percorrere con prudenza. La pendenza è espressa in percentuale.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_salita_ripida.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.17.90,Strettoia simmetrica ,Segnala un restringimento pericoloso della carreggiata o della strada su entrambi i lati.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_strettoia_simmetrica.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.19.90,Strettoia asimmetrica a destra ,Segnala un restringimento pericoloso della carreggiata o della strada posto sul lato destro.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_strettoia_asimmetrica_a_destra.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.18.90,Strettoia asimmetrica a sinistra ,Segnala un restringimento pericoloso della carreggiata o della strada posto sul lato sinistro.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_strettoia_asimmetrica_a_sinistra.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.20.91,Ponte mobile ,Presegnala una struttura stradale mobile comunque manovrabile. Può essere integrato con gli orari di manovra o con un pannello integrativo a tre barre rosse.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_ponte_mobile.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.21.92,Banchina cedevole,"Presegnala un tratto di strada con banchina pericolosa o cedevole, con pericolo di caduta nella cunetta laterale. Corredato di un pannello integrativo che indica la lunghezza del tratto interessato.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_banchina_pericolosa.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.22.93,Strada sdrucciolevole,Presegnala un tratto di strada che in particolari condizioni climatiche od ambientali può diventare sdrucciolevole. I pannelli integrativi illustrano i motivi di eventuale pericolo.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_strada_sdrucciolevole.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.23.94,Bambini,"Segnala luoghi frequentati da bambini, come le scuole, i giardini pubblici, i campi di gioco e simili.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_bambini.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.24.95,Animali domestici vaganti,Presegnala un tratto di strada con probabile presenza od attraversamento di animali domestici spesso sotto la sorveglianza di un custode.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_animali_domestici_vaganti.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.25.96,Animali selvatici vaganti,Presegnala un tratto di strada con probabile improvvisa presenza od attraversamento di animali selvatici.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_animali_selvatici_vaganti.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.26.96,Doppio senso di circolazione,Segnala un tratto di strada che da senso unico diventa a doppio senso di circolazione.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_doppio_senso.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.27.96,Circolazione rotatoria,"Segnala, sulle strade urbane di scorrimento e extraurbane, un'intersezione regolata da circolazione rotatoria.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_circolazione_rotatoria.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.28.97,Sbocco su molo o argine,"Presegnala il pericolo di caduta in acqua, a causa dello sbocco della strada su un molo, su una banchina portuale o sull'argine di un fiume o di un canale. Può essere integrato con luci rosse lampeggianti alternativamente.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_sbocco_su_molo.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.29.98,Materiale instabile sulla strada,"Presegnala la presenza di pietrisco, di materiale minuto o granaglia che può essere proiettato a distanza o scagliato in aria dai veicoli in transito.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_materiale_instabile.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.30b.98,Caduta massi da destra,Presegnala il pericolo di caduta massi dalla parete rocciosa di destra con possibile presenza di pietre sulla carreggiata.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_caduta_massi_da_destra.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.30a.98,Caduta massi da sinistra,Presegnala il pericolo di caduta massi dalla parte rocciosa di sinistra con possibile presenza di pietre sulla carreggiata.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_caduta_massi_da_sinistra.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.31a.99,Semaforo con dischi in verticale,Presegnala un impianto semaforico posto su strade sia urbane di scorrimento che extraurbane con dischi disposti in verticale.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_semaforo_verticale.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.31b.99,Semaforo con dischi in orizzontale,Presegnala un impianto semaforico posto su strade sia urbane di scorrimento che extraurbane con dischi disposti in orizzontale.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_semaforo_orizzontale.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.32.100,Aeromobili,Presegnala la possibilità di improvvisi forti rumori o abbagliamenti dovuti ad aeroplani a bassa quota. Comprensibilmente posto nelle vicinanze di piste od aeroporti.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_aeromobili.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.33.101,Forte vento laterale,"Presegnala la possibilità di forti raffiche di vento laterale su viadotti esposti, ponti o all'uscita di gallerie.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_forte_vento_laterale.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.34.102,Pericolo di incendio,Il segnale richiama l'attenzione sull'infiammabilità di zone boschive ad alto rischio di incendio fiancheggianti la strada. Deve essere integrato da un pannello recante l'indicazione della lunghezza del tratto interessato.,https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_pericolo_di_incendio.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.II.35.103,Altri pericoli,"Segnala un pericolo diverso da quelli per cui sono previsti specifici segnali. È obbligatorio un pannello integrativo recante un simbolo o un'iscrizione che precisi la natura del pericolo, ad esempio: attraversamento binari di raccordo; zona soggetta ad allagamento; pericolo di code; autocarri in rallentamento. In situazioni di emergenza, nell'immediatezza può essere utilizzato da solo, cioè senza pannelli integrativi. In tutti i casi occorre moderare la velocità perché si approssima un pericolo.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_altri_pericoli.svg,,,,,,,,
V,Segnaletica verticale,V.1,Segnale di pericolo,,V.1.1.36,Pericolo di onde di piena improvvise,"Presegnala la possibilità di onde di piena improvvise anche per manovre su opere idrauliche. Non previsto dal codice della strada italiano, ma usato.",https://it.wikipedia.org/wiki/File:Italian_traffic_signs_-_piena_improvvisa.svg,,,,,,,,
